rank	   KS	accession	description
398	62037	X55733_at	EUKARYOTIC INITIATION FACTOR 4B
399	62027	M95178_at	"ALPHA-ACTININ 1, CYTOSKELETAL ISOFORM"
400	61995	D26308_at	NADPH-flavin reductase
401	61995	M84332_at	ARF1 ADP-ribosylation factor 1
402	61985	J03473_at	ADPRT ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)
403	61954	X12791_at	SRP19 Signal recognition particle 19 kD protein
404	61953	X76013_at	GLUTAMINYL-TRNA SYNTHETASE
405	61943	L14813_at	CELL Carboxyl ester lipase like protein
406	61922	M90657_at	TUMOR-ASSOCIATED ANTIGEN L6
407	61911	L12168_at	ADENYLYL CYCLASE-ASSOCIATED PROTEIN 1
408	61911	D16217_at	CAST Calpastatin
409	61901	X61970_at	PROTEASOME ZETA CHAIN
410	61889	D49396_at	Apo1_Human (MER5(Aop1-Mouse)-like protein)
411	61880	U83843_at	"GB DEF = HIV-1 Nef interacting protein (Nip7-1) mRNA, partial cds"
412	61859	Y00281_at	RPN1 Ribophorin I
413	61848	X02317_at	SOD1 Superoxide dismutase 1 (Cu/Zn)
414	61806	L21936_at	"SDH2 Succinate dehydrogenase 2, flavoprotein (Fp) subunit"
415	61796	U44839_at	Putative ubiquitin C-terminal hydrolase (UHX1) mRNA
416	61796	U79254_at	Clone 23693 mRNA sequence
417	61785	J02902_at	"PROTEIN PHOSPHATASE PP2A, 65 KD REGULATORY SUBUNIT, ALPHA ISOFORM"
418	61764	D29012_at	"PSMB6 Proteasome (prosome, macropain) subunit, beta type, 6"
419	61764	X62654_rna1_at	ME491  gene extracted from H.sapiens gene for Me491/CD63 antigen
420	61743	M60858_rna1_at	Nucleolin gene
421	61732	V00594_at	Metallothionein isoform 2
422	61712	U46570_at	Tetratricopeptide repeat protein (tpr1) mRNA
423	61701	U33818_at	Inducible poly(A)-binding protein mRNA
424	61701	D90084_at	PDHA1 Pyruvate dehydrogenase (lipoamide) alpha 1
425	61680	M38591_at	"S100A10 S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))"
426	61669	X99585_at	SMT3B protein
427	61660	X13482_at	U2 SMALL NUCLEAR RIBONUCLEOPROTEIN A'
428	61648	D26598_at	Proteasome subunit HsC10-II
429	61638	HG1614-HT1614_at	"Protein Phosphatase 1, Alpha Catalytic Subunit"
430	61638	L26247_at	RPL3 Ribosomal protein L3
431	61628	M31303_rna1_at	Oncoprotein 18 (Op18) gene
432	61628	M22632_at	"GOT2 Glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)"
433	61628	M33308_at	VCL Vinculin
434	61628	M34079_at	PROBABLE 26S PROTEASE SUBUNIT TBP-1
435	61617	Z27113_at	DNA-DIRECTED RNA POLYMERASE II 14.4 KD POLYPEPTIDE
436	61607	L19437_at	TALDO Transaldolase
437	61606	V00594_s_at	Metallothionein isoform 2
438	61575	D16562_at	"ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR"
439	61565	U20285_at	Gps1 (GPS1) mRNA
440	61544	X70476_at	COATOMER BETA' SUBUNIT
441	61523	U70671_at	"Ataxin-2 related protein mRNA, partial cds"
442	61502	L49380_at	"Transcription factor ZFM1 isoform B3 mRNA, complete  cds"
443	61491	M35878_at	INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 3 PRECURSOR
444	61491	X17620_at	"NME1 Non-metastatic cells 1, protein (NM23A) expressed in"
445	61490	X76534_at	NMB Neuromedin B
446	61470	Z14244_at	COX7B Cytochrome c oxidase subunit VIIb
447	61470	X55448_cds1_s_at	G6PD gene (glucose-6-phosphate dehydrogenase) extracted from H.sapiens G6PD gene for glucose-6-phosphate dehydrogenase
448	61449	X71428_at	RNA-BINDING PROTEIN FUS/TLS
449	61449	X54942_at	CKS2 CDC28 protein kinase 2
450	61439	M86752_at	TRANSFORMATION-SENSITIVE PROTEIN IEF SSP 3521
451	61429	AFFX-HSAC07/X00351_3_st	AFFX-HSAC07/X00351_3_st (endogenous control)
452	61428	U93205_at	Nuclear chloride ion channel protein (NCC27) mRNA
453	61407	X59798_at	CCND1 Cyclin D1 (PRAD1; parathyroid adenomatosis 1)
454	61397	M32886_at	SRI Sorcin
455	61386	M19283_at	"ACTG1 Actin, gamma 1"
456	61376	D00763_at	GAPD Glyceraldehyde-3-phosphate dehydrogenase
457	61366	U55206_at	Gamma-glutamyl hydrolase (hGH) mRNA
458	61355	M13450_at	ESD Esterase D/formylglutathione hydrolase
459	61344	Z48950_at	HISTONE H3.3
460	61343	M29927_at	OAT Ornithine aminotransferase (gyrate atrophy)
461	61334	HG2259-HT2348_s_at	"Tubulin, Alpha 1, Isoform 44"
462	61323	X12671_rna1_at	Hnrnp a1 protein gene extracted from Human gene for heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1
463	61323	M58028_at	UBE1 Ubiquitin activating enzyme E1
464	61323	HG417-HT417_s_at	Cathepsin B
465	61302	HG2815-HT2931_s_at	"Myosin, Light Chain, Alkali, Smooth Muscle (Gb:U02629), Non-Muscle, Alt. Splice 2"
466	61292	X04654_s_at	SNRP70 U1 snRNP 70K protein
467	61292	D13627_at	KIAA0002 gene
468	61281	D13315_at	GLO1 Glyoxalase I
469	61271	L08069_at	DNAJ PROTEIN HOMOLOG 2
470	61260	X57959_at	RPL17 Ribosomal protein L7
471	61248	M97796_s_at	"ID2 Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"
472	61228	Y08614_at	CRM1 protein
473	61218	U73379_at	Cyclin-selective ubiquitin carrier protein mRNA
474	61198	D78275_at	Proteasome subunit p42
475	61197	D26068_at	"KIAA0038 gene, partial cds"
476	61196	J04973_at	LGALS1 Ubiquinol-cytochrome c reductase core protein II
477	61187	M69066_at	MSN Moesin
478	61187	D82348_at	5-aminoimidazole-4-carboxamide-1-beta-D-ribonucleoti de transformylase/inosinicase
479	61165	U39318_at	AF-4 mRNA
480	61145	L28010_at	HnRNP F protein mRNA
481	61123	U36341_rna1_at	"SLC6A8 gene (creatine transporter) extracted from Human Xq28 cosmid, creatine transporter (SLC6A8) gene, and CDM gene, partial cds"
482	61113	X15822_at	COX7A2 Cytochrome c oxidase VIIa subunit (liver specific)
483	61093	L42379_at	"Quiescin (Q6) mRNA, partial cds"
484	61081	L40357_at	"Thyroid receptor interactor (TRIP7) mRNA, 3' end of cds"
485	61071	M37104_at	"ATP5 ATP synthase, H+ transporting, mitochondrial"
486	61071	U78521_at	Immunophilin homolog ARA9 mRNA
487	61071	U00947_s_at	HNRPA1 Heterogeneous nuclear ribonucleoprotein A1
488	61050	X69111_at	"ID3 Inhibitor of DNA binding 3, dominant negative helix-loop-helix protein"
489	61008	L33842_rna1_at	"(clone FFE-7) type II inosine monophosphate dehydrogenase (IMPDH2) gene, exons 1-13"
490	60998	HG1869-HT1904_at	Male Enhanced Antigen
491	60987	U02493_at	54 kDa protein mRNA
492	60977	L22009_at	HnRNP H mRNA
493	60956	M61832_s_at	AHCY S-adenosylhomocysteine hydrolase
494	60955	X52979_rna1_s_at	SmB protein gene extracted from Human gene for small nuclear ribonucleoproteins SmB and SmB'
495	60955	U90915_at	COX4 Cytochrome c oxidase subunit IV
496	60935	HG3076-HT3238_s_at	"Heterogeneous Nuclear Ribonucleoprotein K, Alt. Splice 1"
497	60935	U15009_at	SnRNP core protein Sm D3 mRNA
498	60935	M15205_at	"TK1 Thymidine kinase 1, soluble"
499	60935	J04794_at	ALCOHOL DEHYDROGENASE
500	60924	M19311_s_at	"CALM1 Calmodulin 1 (phosphorylase kinase, delta)"
501	60914	AF015913_at	GB DEF = SKB1Hs mRNA
502	60914	U33821_at	Tax1-binding protein TXBP151 mRNA
503	60913	AC002115_cds1_at	"COX6B gene (COXG) extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"
504	60903	U95040_at	"Unknown protein mRNA, partial cds"
505	60882	J04173_at	PGAM1 Phosphoglycerate mutase 1 (brain)
506	60840	HG1515-HT1515_f_at	Transcription Factor Btf3b
507	60840	M27891_at	CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage)
508	60830	M93651_at	SET PROTEIN
509	60788	D14657_at	KIAA0101 gene
510	60756	D14812_at	KIAA0026 gene
511	60746	U24105_at	Coatomer protein (COPA) mRNA
512	60735	HG384-HT384_at	Ribosomal Protein L26
513	60735	X56494_at	"PKM2 Pyruvate kinase, muscle"
514	60725	X75861_at	TEGT Testis enhanced gene transcript
515	60715	AJ000099_s_at	GB DEF = Lysosomal hyaluronidase
516	60704	U52101_at	YMP mRNA
517	60703	Y08999_at	Sop2p-like protein
518	60683	M60784_s_at	U1 SMALL NUCLEAR RIBONUCLEOPROTEIN A
519	60683	HG1102-HT1102_at	Ras-Related C3 Botulinum Toxin Substrate
520	60660	D50310_at	CANX Calnexin
521	60641	X75252_at	PBP Prostatic binding protein
522	60641	X77588_s_at	"GNAS1 Guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1"
523	60630	U09510_s_at	GARS Glycyl-tRNA synthetase
524	60609	V00572_at	PGK1 Phosphoglycerate kinase 1
525	60609	M33680_at	26-kDa cell surface protein TAPA-1 mRNA
526	60599	X63692_at	DNMT DNA methyltransferase
527	60598	D13146_cds1_at	"2',3'-cyclic-nucleotide 3'-phosphodiesterase gene extracted from Human 2',3'-cyclic-nucleotide 3'-phosphodiesterase gene"
528	60588	D89052_at	Proton-ATPase-like protein
529	60578	X05276_at	TPM4 Tropomyosin 4 (fibroblast)
530	60578	J04615_at	SNRPN Small nuclear ribonucleoprotein polypeptide N
531	60567	U51004_at	Putative protein kinase C inhibitor (PKCI-1) mRNA
532	60557	X16135_at	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN L
533	60536	S81914_at	IEX-1
534	60536	X57351_at	RPS3 Ribosomal protein S3
535	60535	M33764_at	ODC1 Ornithine decarboxylase 1
536	60526	U75968_at	CHL1 protein
537	60525	U37690_at	RNA polymerase II subunit (hsRPB10) mRNA
538	60525	U53204_at	Plectin (PLEC1) mRNA
539	60515	D78132_s_at	"Ras homologue enriched in brain (RHEB) gene, Ras-related GTP binding protein gene"
540	60482	J05272_at	IMPDH1 IMP (inosine monophosphate) dehydrogenase 1
541	60473	HG3597-HT3800_f_at	"Major Histocompatibility Complex, Class I (Gb:X12432)"
542	60473	HG4322-HT4592_at	"Tubulin, Beta"
543	60473	U73824_at	P97 mRNA
544	60452	D28416_at	"GB DEF = Esterase D, 5'UTR (sequence from the 5'cap to the start codon)"
545	60442	U14193_at	TFIIA gamma subunit mRNA
546	60420	M30448_s_at	GB DEF = Casein kinase II beta subunit mRNA
547	60410	U91327_at	GB DEF = Chromosome 12p15 BAC clone CIT987SK-99D8 complete sequence
548	60410	M96982_at	SPLICING FACTOR U2AF 35 KD SUBUNIT
549	60368	L11672_at	"ZNF91 Zinc finger protein 91 (HPF7, HTF10)"
550	60347	L24774_s_at	"DCI Dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)"
551	60347	D23673_at	"mRNA, clone HH109 (screened by the monoclonal antibody of insulin receptor substrate-1 (IRS-1))"
552	60347	D31885_at	"KIAA0069 gene, partial cds"
553	60326	D50840_at	Ceramide glucosyltransferase
554	60314	U07424_at	Putative tRNA synthetase-like protein mRNA
555	60273	X52882_at	"T-COMPLEX PROTEIN 1, ALPHA SUBUNIT"
556	60273	U68105_s_at	PABPL1 Poly(A)-binding protein-like 1
557	60273	Y00433_at	GPX1 Glutathione peroxidase 1
558	60252	D49824_s_at	GB DEF = HLA-B null allele mRNA
559	60242	X14850_at	HISTONE H2A.X
560	60231	U72511_at	"B-cell receptor associated protein (hBAP) mRNA, partial cds"
561	60231	Z47055_s_at	"GB DEF = Partial cDNA sequence, farnesyl pyrophosphate synthetase like-4"
562	60231	X90858_at	Uridine phosphorylase
563	60221	U33286_at	Chromosome segregation gene homolog CAS mRNA
564	60211	U50939_at	Amyloid precursor protein-binding protein 1 mRNA
565	60179	U58516_at	Breast epithelial antigen BA46 mRNA
566	60178	X74929_s_at	KRT8 Keratin 8
567	60137	X54304_at	Myosin regulatory light chain mRNA
568	60136	J03592_at	ANT3 Adenine nucleotide translocator 3 (liver)
569	60105	U09813_at	"Mitochondrial ATP synthase subunit 9, P3 gene copy, mRNA, nuclear gene encoding mitochondrial protein"
570	60094	X57351_s_at	RPS3 Ribosomal protein S3
571	60084	U13991_at	TATA-binding protein associated factor 30 kDa subunit (tafII30) mRNA
572	60074	M36341_at	ARF4 ADP-ribosylation factor 4
573	60074	U91932_at	Clathrin coat assembly protein-like
574	60053	Y07604_at	Nucleoside-diphosphate kinase
575	60043	AF001294_at	IPL (IPL) mRNA
576	60042	X60489_at	Elongation factor-1-beta
577	60032	L10678_at	PFN2 Profilin 2
578	60032	X15187_at	TRA1 Homologue of mouse tumor rejection antigen gp96
579	60031	M15182_at	"GUSB Glucuronidase, beta"
580	60010	D38251_s_at	DNA-DIRECTED RNA POLYMERASE II 23 KD POLYPEPTIDE
581	59999	HG4264-HT4534_s_at	Guanine Nucleotide-Binding Protein Rab5c-Like Protein
582	59980	D14662_at	KIAA0106 gene
583	59969	D29963_at	Platelet-endothelial tetraspan antigen 3 mRNA
584	59958	S78771_s_at	RING3 PROTEIN
585	59916	J04988_at	"90-kDa heat-shock protein gene, cDNA"
586	59916	X81420_at	MLN137 mRNA
587	59895	U78095_at	Placental bikunin mRNA
588	59895	D13748_at	EIF4A1 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 1
589	59895	Z22548_at	Thiol-specific antioxidant protein mRNA
590	59884	X16560_at	COX7C Cytochrome c oxidase VIIc subunit
591	59874	D15057_at	DEFENDER AGAINST CELL DEATH 1
592	59874	M14328_s_at	"ENO1 Enolase 1, (alpha)"
593	59874	HG1112-HT1112_at	Ras-Like Protein Tc4
594	59874	HG987-HT987_at	Mac25
595	59864	X95586_at	"PSMB5 Proteasome (prosome, macropain) subunit, beta type, 5"
596	59864	X51521_at	VIL2 Villin 2 (ezrin)
597	59853	X07979_at	"ITGB1 Integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
598	59843	D50663_at	CW-1 mRNA
599	59822	M83751_at	Arginine-rich protein (ARP) gene
600	59801	U17886_at	"SDH1 Succinate dehydrogenase, iron sulphur (Ip) subunit"
601	59790	Z47727_at	RNA polymerase II subunit
602	59790	M22382_at	HSPD1 Heat shock 60 kD protein 1 (chaperonin)
603	59758	M19483_at	"ATP5B ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"
604	59758	U80040_at	"ACO2 Aconitase 2, mitochondrial"
605	59748	X17567_s_at	SNRPB Small nuclear ribonucleoprotein polypeptides B and B1
606	59696	M24398_at	PTMS Parathymosin
607	59664	J02683_s_at	ANT2 Adenine nucleotide translocator 2 (fibroblast)
608	59654	L38810_at	Thyroid receptor interactor (TRIP1) mRNA
609	59654	X91257_at	SERYL-TRNA SYNTHETASE
610	59633	M94630_at	"Heterogeneous nuclear ribonucleoprotein D (hnRNP D), partial cds, clone cDx4"
611	59633	M12125_at	Skeletal beta-tropomyosin
612	59612	L03532_at	M4 protein mRNA
613	59602	S83364_at	"GB DEF = Putative Rab5-interacting protein {clone L1-57} [human, HeLa cells, mRNA Partial, 366 nt]"
614	59601	U96915_at	Sin3 associated polypeptide p18 (SAP18) mRNA
615	59601	D32050_at	AARS Alanyl-tRNA synthetase
616	59591	D00760_at	PSMA3 Proteasome component C3
617	59590	L02426_at	26S PROTEASE REGULATORY SUBUNIT 4
618	59570	U10439_at	ADAR Double-stranded RNA adenosine deaminase
619	59538	L20941_at	FTH1 Ferritin heavy chain
620	59538	J03040_at	SPARC SPARC/osteonectin
621	59528	D11094_at	26S PROTEASE REGULATORY SUBUNIT 7
622	59526	D42073_at	Reticulocalbin
623	59496	X12447_at	ALDOA Aldolase A
624	59486	X15729_s_at	P68 PROTEIN
625	59486	M19267_s_at	TPM1 Tropomyosin alpha chain (skeletal muscle)
626	59475	HG1153-HT1153_at	Nucleoside Diphosphate Kinase Nm23-H2s
627	59465	X74794_at	CDC21 HOMOLOG
628	59464	M96995_s_at	GRB2 Growth factor receptor-bound protein 2
629	59453	M31642_at	HPRT1 Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)
630	59423	X05610_at	"COL4A2 Collagen, type IV, alpha 2"
631	59423	L25085_at	PROTEIN TRANSPORT PROTEIN SEC61 BETA SUBUNIT
632	59412	HG613-HT613_at	Ribosomal Protein S12
633	59412	M11353_at	EEF1G Translation elongation factor 1 gamma
634	59402	X53416_at	FLN1 Filamin 1 (actin-binding protein-280)
635	59401	X51466_at	EEF2 Eukaryotic translation elongation factor 2
636	59360	L29008_at	SORD Sorbitol dehydrogenase
637	59359	M31520_rna1_s_at	Unknown protein gene extracted from Human ribosomal protein S24 mRNA
638	59328	M21186_at	"CYBA Cytochrome b-245, alpha polypeptide"
639	59306	M80563_at	PLACENTAL CALCIUM-BINDING PROTEIN
640	59297	U70735_at	GB DEF = 34 kDa mov34 isologue mRNA
641	59276	X86809_at	Major astrocytic phosphoprotein PEA-15
642	59276	HG4297-HT4567_at	Transcriptional Coactivator Pc4
643	59276	S73591_at	"Brain-expressed HHCPA78 homolog [human, HL-60 acute promyelocytic leukemia cells, mRNA, 2704 nt]"
644	59265	S54005_s_at	THYMOSIN BETA-10
645	59255	M86667_at	HnRNP C2 protein mRNA
646	59244	J03077_s_at	PSAP Sulfated glycoprotein 1
647	59244	J03191_at	Profilin mRNA
648	59223	X63422_at	"ATP5D ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"
649	59202	D21260_at	60S RIBOSOMAL PROTEIN L23
650	59202	L09604_at	INTESTINAL MEMBRANE A4 PROTEIN
651	59171	J04182_at	LAMP1 Lysosome-associated membrane protein 1
652	59160	U37689_at	RNA polymerase II subunit (hsRPB8) mRNA
653	59150	X82456_at	MLN50 mRNA
654	59107	U77396_at	No cluster in current Unigene and no Genbank entry for U77396 (qualifier U77396_at)
655	59076	X94910_at	ERp31 protein
656	59055	M10277_s_at	"ACTB Actin, beta"
657	59045	M23254_at	"CAPN2 Calpain, large polypeptide L2"
658	59045	X96506_s_at	NC2 alpha subunit
659	59013	S79522_at	UBA52 Ubiquitin A-52 residue ribosomal protein fusion product 1
660	59013	X56253_rna1_at	MPR46 gene for 46kd mannose 6-phosphate receptor
661	59013	X53777_at	60S RIBOSOMAL PROTEIN L23
662	58992	D63874_at	HMG1 High-mobility group (nonhistone chromosomal) protein 1
663	58971	U12404_at	HSPB1 Heat shock 27kD protein 1
664	58971	X02152_at	LDHA Lactate dehydrogenase A
665	58971	X79234_at	Ribosomal protein L11
666	58939	X67951_at	PAGA Proliferation-associated gene A (natural killer-enhancing factor A)
667	58929	U78027_rna3_at	"L44L gene (L44-like ribosomal protein) extracted from Human Bruton's tyrosine kinase (BTK), alpha-D-galactosidase A (GLA), L44-like ribosomal protein (L44L) and FTP3 (FTP3) genes"
668	58908	U09953_at	RPL9 Ribosomal protein L9
669	58898	U12595_at	"Tumor necrosis factor type 1 receptor associated protein (TRAP1) mRNA, partial cds"
670	58898	X99920_at	S100 calcium-binding protein A13
671	58865	M28209_at	RAS-RELATED PROTEIN RAB-1A
672	58856	Z18951_at	"CAV Caveolin, caveolae protein, 22kD"
673	58845	HG4542-HT4947_at	Ribosomal Protein L10
674	58845	J04456_at	LGALS1 Ubiquinol-cytochrome c reductase core protein II
675	58835	X54941_at	CKS1 CDC28 protein kinase 1
676	58824	X69391_at	RPL6 Ribosomal protein L6
677	58824	X52966_at	RPL35A Ribosomal protein L35a
678	58824	U25789_at	Ribosomal protein L21 mRNA
679	58814	M88458_at	ELP-1 mRNA sequence
680	58803	M23613_at	"NPM1 Nucleophosmin (nucleolar phosphoprotein B23, numatrin)"
681	58793	M94046_at	Zinc finger protein (MAZ) mRNA
682	58792	X64707_at	60S RIBOSOMAL PROTEIN L13
683	58782	X80909_at	Alpha NAC mRNA
684	58751	X04741_at	UBIQUITIN CARBOXYL-TERMINAL HYDROLASE ISOZYME L1
685	58730	Y11681_at	GB DEF = Mitochondrial ribosomal protein S12
686	58677	U49869_rna1_at	Ubiquitin gene
687	58635	V00599_s_at	mRNA fragment encoding beta-tubulin. (from clone D-beta-1)
688	58625	L07633_at	INTERFERON GAMMA UP-REGULATED I-5111 PROTEIN PRECURSOR
689	58624	HG2788-HT2896_at	Calcyclin
690	58614	X95404_at	CFL1 Cofilin 1 (non-muscle)
691	58582	X15341_at	CYTOCHROME C OXIDASE POLYPEPTIDE VIA-LIVER PRECURSOR
692	58561	L24804_at	(p23) mRNA
693	58551	D87735_at	"CAG-isl 7 {trinucleotide repeat-containing sequence} [human, pancreas, mRNA Partial, 701 nt]"
694	58551	M21904_at	"MDU1 Antigen identified by monoclonal antibodies 4F2, TRA1.10, TROP4, and T43"
695	58488	D21261_at	SM22-ALPHA HOMOLOG
696	58478	X74104_at	"SSR2 Signal sequence receptor, beta"
697	58445	X03689_s_at	GB DEF = mRNA fragment for elongation factor TU (N-terminus)
698	58394	U36764_at	EIF3 Eukaryotic translation initiation factor 3 (eIF-3) p36 subunit
699	58394	L10838_at	PRE-MRNA SPLICING FACTOR SRP20
700	58363	HG2917-HT3061_f_at	"Major Histocompatibility Complex, Class I, E (Gb:M21533)"
701	58320	U58682_at	RPS28 Ribosomal protein S28
702	58320	M26708_s_at	PTMA Prothymosin alpha
703	58300	D38073_at	MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3
704	58267	AFFX-HSAC07/X00351_5_at	AFFX-HSAC07/X00351_5_at (endogenous control)
705	58236	D43682_s_at	Very-long-chain acyl-CoA dehydrogenase (VLCAD)
706	58215	HG311-HT311_at	Ribosomal Protein L30
707	58152	M77349_at	Transforming growth factor-beta induced gene product (BIGH3) mRNA
708	58142	HG1595-HT4788_s_at	"Heterogeneous Nuclear Ribonucleoprotein I, Alt. Splice 2, Ptb-1"
709	58099	U40282_at	Integrin-linked kinase (ILK) mRNA
710	58068	HG33-HT33_at	"Ribosomal Protein S4, X-Linked"
711	58037	U62015_at	Cyr61 mRNA
712	58037	M28713_at	NADH-CYTOCHROME B5 REDUCTASE
713	58026	X55954_at	RPL17 Ribosomal protein L17
714	58005	HG821-HT821_at	Ribosomal Protein S13
715	57995	J02621_s_at	Non-histone chromosomal protein HMG-14 mRNA
716	57984	J03827_at	DbpB-like protein mRNA
717	57984	HG2279-HT2375_at	Triosephosphate Isomerase
718	57962	J04088_at	TOP2A Topoisomerase (DNA) II alpha (170kD)
719	57942	HG3991-HT4261_r_at	"Cpg-Enriched Dna, Clone E18"
